 (en millions d’euros);2005;2006;2007;2008;2009;2010;2011;2012
Montant;281;328;493;1172;1242;961;714;491
% dans le financement total de ces dépenses;0,141;0,138;0,195;0,348;0,361;0,32;0,246;0,161
